repo_slug,category,rationale,suggested_new_class
Asphaltt/eBPF-TupleMerge,Kernel / Dataplane Networking,"The repository provides an eBPF implementation of the TupleMerge algorithm, which is designed for fast, online packet classification. Its primary function is to process packets at the XDP hook, applying Access Control List (ACL) rules based on the IPv4 five-tuple. This aligns directly with the definition of Kernel / Dataplane Networking, which includes programs that implement firewalls, packet classifiers, and accelerate packet processing directly in the kernel. The project's focus is on the performance and mechanics of packet filtering at a low level, not on cloud-native abstractions, runtime behavioral analysis, or observability.",
unibg-seclab/natisand,Runtime Security,"The repository's primary purpose is to create a sandbox that controls and restricts the behavior of running programs. The documentation explicitly states its goal is to leverage eBPF, Landlock, and Seccomp to ""control the filesystem, Inter-Process Communication (IPC), and network resources available to binary programs and shared libraries."" This is a classic example of runtime security, as it involves enforcing a policy on a process while it is actively executing to mitigate potential vulnerabilities. The project's intent is to provide real-time isolation and protection, which directly aligns with the definition of the Runtime Security class.",
grafana/beyla,Observability,"The repository's main purpose is to provide ""zero-code automatic instrumentation"" for application observability. It uses eBPF to inspect running services (HTTP/S, gRPC, etc.) and automatically generate telemetry data, specifically OpenTelemetry trace spans and Prometheus RED (Rate-Errors-Duration) metrics. This aligns directly with the definition of the Observability class, which focuses on using eBPF to ""observe, measure, trace, or profile systems, applications, or networks without a security or adversarial goal."" The project's intent is to provide insight into application performance and behavior, not to perform security enforcement, networking, or offensive actions.",
littlejo/cilium-eks-cookbook,Educational / Demonstration Resources,"The repository is explicitly described as a ""cookbook"" of installation recipes for Cilium on EKS, intended for Proof-of-Concept (POC) use rather than production. Its structure consists entirely of ""Quickstart"" guides, tutorials, and examples demonstrating various configurations. The project's primary purpose is to educate users and provide hands-on learning material for different deployment scenarios, which directly aligns with the definition of an educational or demonstration resource. It teaches how to install and configure an eBPF-based tool, rather than being the tool itself.",
seifrajhi/awesome-cilium,Educational / Demonstration Resources,"This repository is an 'Awesome list', which is by definition a curated collection of resources designed to help people learn about a specific topic. Its content consists entirely of links to documentation, articles, tutorials, hands-on labs, and related projects. The repository's primary intent is to educate and inform users about the Cilium ecosystem. This aligns perfectly with the definition of the 'Educational / Demonstration Resources' class, which explicitly includes 'curated resource collections related to eBPF education'.",
google/security-research,Offensive Security,"The repository's explicit purpose is to host ""security advisories and their accompanying proof-of-concepts"" related to security research. These PoCs demonstrate vulnerabilities, often by providing exploit code. The classification definition for Offensive Security precisely includes ""projects that demonstrate or simulate attacks — e.g., eBPF-based malware, credential sniffers, or syscall hijackers — even if their intent is educational or research-oriented."" While the ultimate goal of this research is to improve security (a defensive outcome), the artifacts themselves are offensive in nature, as they show how to break systems to prove a vulnerability exists. The initial quote about `CAP_BPF` leading to kernel R/W further frames the content within an adversarial context.",
eunomia-bpf/bpf-developer-tutorial,Educational / Demonstration Resources,"The repository's name, `bpf-developer-tutorial`, and its self-description explicitly state its primary purpose is educational. The README states, 'Its main purpose is to provide examples of eBPF tools... to help eBPF application developers quickly grasp eBPF development methods and techniques'. The content is structured as a series of 'lessons' ranging from 'Getting Started' to advanced topics. Although it contains code examples related to security, observability, and networking, these are presented as learning modules rather than production-grade tools. The project is designed for learning, experimentation, and demonstrating concepts, which perfectly aligns with the definition of an Educational / Demonstration Resource.",
hardenedvault/ved-ebpf,Runtime Security,"The repository's explicit and primary purpose is to perform ""runtime kernel security monitoring and exploit detection."" It uses eBPF to trace security-sensitive kernel behaviors in real time, such as control flow integrity (wCFI) and privilege escalation (PSD), to detect active attacks like exploits and rootkits. The program generates specific security events when anomalies are found. This aligns perfectly with the definition of Runtime Security, which focuses on observing, detecting, and responding to malicious activity while a system is actively running.",
aws/aws-ebpf-sdk-go,Developer Tooling / Frameworks,"The repository is explicitly described as a 'Golang based SDK for kernel eBPF operations'. Its primary function is to provide a library that abstracts the low-level bpf() system calls, allowing developers to load, attach, and manage eBPF programs and maps from Go applications. This fits the definition of 'Developer Tooling / Frameworks' as it provides the building blocks for creating eBPF-based applications rather than implementing a specific security, networking, or observability function itself.",
tks98/eBPF-Summit-2023-CTF,Educational / Demonstration Resources,"The repository's title and description explicitly state that it is a ""Capture The Flag Challenge for eBPF Summit 2023"". Its primary purpose is to provide a hands-on learning exercise for an event, where participants use their eBPF knowledge to solve a puzzle. This directly aligns with the definition of the 'Educational / Demonstration Resources' class, which includes projects created for teaching, training, and interactive labs or CTFs. The repository is not a production tool but a temporary, contained environment for education and skill demonstration.",
ddosify/alaz,Observability,"The repository is explicitly described as an ""eBPF-based Kubernetes Monitoring"" agent. Its primary function is to inspect and collect Kubernetes service traffic to provide visibility into system performance. Key features include generating a ""Service Map,"" identifying ""bottlenecks,"" monitoring for ""high latencies,"" detecting ""slow SQL queries,"" and tracking resource usage (CPU, memory). This aligns perfectly with the definition of the Observability class, which includes programs that ""observe, measure, trace, or profile systems, applications, or networks without a security or adversarial goal."" The tool's intent is to help operators understand system behavior and diagnose performance issues, not to enforce security policies or provide network connectivity.",
qjawls2003/eBPF-Remote-Client-Tracing,Runtime Security,"The repository's primary purpose is to trace all `execve` syscalls back to the original SSH client's IP, port, and user, specifically to aid in ""conducting forensics on suspicious user activities."" This aligns directly with the definition of Runtime Security, which includes programs that use eBPF to ""observe, detect... potentially malicious or policy-violating activity while a system... is actively running."" The tool operates in real-time to provide an audit trail for security investigations. While it shares characteristics with Observability tools (tracing syscalls), its explicit goal is security-focused attribution, not performance monitoring or general system debugging. The context of tracking users through privilege escalations (`sudo su`) and SSH hops reinforces its role as a security tool designed for an adversarial context.",
camptocamp/tetragon-policy-builder,Defensive Security,"The repository's primary function is to profile the normal process execution of applications in Kubernetes by observing events from Tetragon. Based on this observation of 'safe' behavior, it automatically generates Cilium TracingPolicies. These policies create a process whitelist, effectively hardening the system by reducing its attack surface before an attack occurs. This aligns perfectly with the Defensive Security category, which includes 'tools that generate security profiles automatically by tracing system calls or behavior during safe operation.' It is not Runtime Security because it doesn't perform real-time detection itself, but rather creates the rules for another tool to enforce. Its goal is proactive hardening, not reactive defense.",
alegrey91/harpoon,Defensive Security,"The repository's primary function is to trace system calls of specific functions to generate security profiles, specifically Seccomp profiles, as mentioned in the 'Adopters' section. This aligns perfectly with the definition of Defensive Security, which includes 'tools that generate security profiles automatically by tracing system calls or behavior during safe operation'. The tool is used for proactive hardening and reducing the attack surface before runtime, rather than real-time threat detection (Runtime Security) or general performance monitoring (Observability).",
hardos-ebpf-fuzzing/ekcfi,Defensive Security,"The repository's primary function is to implement Kernel Control-Flow Integrity (KCFI). The workflow involves two main stages: first, tracing a program's normal execution to generate a policy (an allow-list of valid indirect calls), and second, enforcing this policy at runtime to prevent deviations. This process of generating a security profile based on known-good behavior to harden the system against future attacks is a core characteristic of Defensive Security. The definition for this class explicitly includes 'tools that generate security profiles automatically by tracing system calls or behavior during safe operation' and 'enforce... control-flow integrity (CFI) checks'. While the enforcement occurs at runtime, the tool's main intent is proactive hardening based on a pre-generated policy, rather than real-time threat detection of unknown malicious patterns.",
kmesh-net/kmesh,Cloud Native Networking,"The repository describes itself as a 'High Performance ServiceMesh Data Plane' designed to solve the latency and resource overhead challenges of traditional service meshes like Istio. Its primary function is to provide traffic management, load balancing, and policy enforcement for services in a cloud-native environment, specifically by offering a 'sidecarless' architecture using eBPF. The documentation and architecture diagrams are entirely focused on this context, mentioning Kubernetes-native concepts like XDS and the Gateway API. This aligns perfectly with the definition of Cloud Native Networking, which covers programs using eBPF to implement networking capabilities within containerized or cloud-native environments.",
eeriedusk/nysm,Offensive Security,"The repository is explicitly designed for adversarial purposes, describing itself as an 'eBPF stealth container meant to make offensive tools fly under the radar' and a 'stealth post-exploitation container'. Its core functionality is to use eBPF to hook kernel functions and system calls to actively hide its own eBPF objects, PIDs, sockets, and audit logs from system monitoring tools. This aligns perfectly with the definition of Offensive Security, as it is a rootkit-like tool built for stealth, evasion, and post-exploitation.",
Lakshmipathi/ebpf-diskalert,Uncategorized,"This tool does not fit any of the provided categories. Its primary function is to monitor disk usage and trigger an automated operational action (like expanding a volume) when a threshold is breached. This places it in a gray area:

1.  It is not **Runtime Security** because its intent is operational reliability (preventing disk exhaustion), not detecting or responding to malicious or adversarial activity. The definitions for Runtime Security explicitly require an adversarial context.
2.  It is not **Observability** because its core feature is taking an automated action, whereas observability tools are defined as being passive monitors for understanding system behavior.
3.  It is not **Operations, Orchestration & Lifecycle Management** because that class is defined for tools that manage the deployment and lifecycle of *other eBPF programs*. This tool is the eBPF program performing the work, not an orchestrator managing other tools.

The tool's function is best described as runtime operational automation, a category that is not represented in the provided list.",Operational Automation
littlejo/awesome-french-cilium,Educational / Demonstration Resources,"The repository is a curated list of links to external blog posts, videos, and podcasts about Cilium and eBPF, specifically for a French-speaking audience. It does not contain any functional code itself. Its sole purpose is to aggregate and provide learning materials to educate users. This aligns perfectly with the definition of 'Educational / Demonstration Resources', which explicitly includes 'curated resource collections related to eBPF education'.",
xxradar/cilium-clustermesh-multi-region-with-fortigate,Educational / Demonstration Resources,"This repository provides a comprehensive, step-by-step tutorial for deploying a specific, complex architecture: a multi-region Kubernetes cluster connected via Cilium's eBPF-powered Clustermesh and a Fortigate VPN on AWS. It does not introduce new eBPF programs or a reusable tool. Instead, its primary purpose is to educate and demonstrate how to configure and integrate these technologies. The content consists of setup instructions, Terraform scripts for infrastructure deployment, and testing procedures to validate the configuration. This aligns perfectly with the definition of an educational resource, as it's designed for learning and experimentation rather than being a production-grade operational tool.",
netobserv/netobserv-ebpf-agent,Observability,"The repository is explicitly named ""Network Observability eBPF Agent"" and its documented purpose is to ""collect and aggregate all the ingress and egress flows on a Linux host"". The agent traces network flows and exports this telemetry to an external system (Flowlogs Pipeline) for analysis. This aligns directly with the definition of Observability, which involves using eBPF to observe, measure, and trace system behavior for insight and diagnostics. The tool's intent is to provide visibility into network activity, not to enforce security policies, provide network connectivity, or serve as a developer framework.",
xmigrate/ebee,Educational / Demonstration Resources,"The repository's primary and explicitly stated goal is to educate users on eBPF development. The project name itself, ""ebee - eBPF the Hard Way!"", and the project goal, ""to help users learn creating eBPF tools with a comprehensive step-by-step guide,"" clearly frame it as a learning tool. It contains reimplementations of existing tools not for production use, but as pedagogical examples. The extensive documentation is structured as a course, with sections like ""Learning Materials,"" ""Core Concepts,"" and a ""First Tool Tutorial."" Therefore, it perfectly fits the definition of an educational resource, designed to teach and demonstrate concepts rather than to be deployed for a functional purpose.",
eunomia-bpf/bpftime,"Platform, Runtime & Acceleration","The repository's primary intent is to provide a high-performance, userspace eBPF runtime. Its core functionality focuses on *how* eBPF programs execute, rather than *what* they do (e.g., security or observability). Key features like a userspace VM, multiple JIT/AOT backends (LLVM), and the ability to run eBPF programs without kernel involvement for performance and cross-platform compatibility align perfectly with the definition of this class. The project's goal is to create an alternative execution engine for eBPF, which is the defining characteristic of the 'Platform, Runtime & Acceleration' category.",
adobeSlash/cilium-kyverno,"Operations, Orchestration & Lifecycle Management","The repository's core purpose is to provide a set of Kyverno policies to govern and manage the configuration of Cilium Network Policies. Kyverno acts as a Kubernetes policy controller, and these policies are used to automate and enforce rules on the configuration of Cilium, an eBPF-based system. This directly aligns with the definition of 'Operations, Orchestration & Lifecycle Management', which includes tools that manage, coordinate, and configure the lifecycle of eBPF-dependent systems. The repository doesn't implement eBPF programs itself, nor does it perform runtime security or networking; instead, it provides the operational guardrails for a system that does.",
mtardy/mahebpf,Educational / Demonstration Resources,"The repository's documentation explicitly states its purpose is to be an 'educational eBPF disassembler'. Its function is to convert eBPF bytecode from ELF files or ASCII hex into human-readable instructions, serving as a tool for learning and understanding the low-level representation of eBPF programs. The informal tone and self-deprecating comparison to `llvm-objdump` ('but in bad') further solidifies its non-production, pedagogical intent, aligning it perfectly with the definition of an educational resource. While a disassembler is a type of developer tool, the stated educational intent is the primary driver for this classification.",
h4ckm310n/CVE-2022-0847-eBPF,Runtime Security,"The repository's explicit purpose is to 'detect and defense attacks' on a specific CVE (CVE-2022-0847) while the system is running. It achieves this by hooking the `splice()` system call to identify the exploit pattern in real time. Upon detection, it automatically responds by killing the malicious process. This combination of real-time detection of malicious activity and automated response places it squarely in the Runtime Security category, as it is designed to observe, detect, and respond to an attack in progress.",
tks98/snoopy,Observability,"The repository's primary function is to trace and monitor SSL/TLS traffic by hooking into common encryption libraries using eBPF uprobes. It extracts plaintext data and associated metadata (process name, PID, size) for inspection. This aligns perfectly with the Observability class, as its goal is to provide visibility into application behavior for diagnostic or debugging purposes, without any explicit security enforcement or adversarial intent. The tool provides neutral telemetry to answer the question 'What data is being sent over this TLS connection?', which is a classic observability use case.",
navarrothiago/upf-bpf,Kernel / Dataplane Networking,"The repository's primary and explicit goal is to create a high-performance, in-kernel dataplane for a 5G User Plane Function (UPF) using eBPF and XDP. This aligns perfectly with the definition of Kernel / Dataplane Networking, which focuses on using eBPF to accelerate or implement packet processing directly within the kernel. The project deals with low-level packet manipulation, including parsing GTP and UDP packets and applying forwarding rules (FARs) as specified by 3GPP standards. It is not designed for cloud-native orchestration (like Kubernetes CNI) but rather for accelerating a core mobile network function, making it a clear example of a specialized kernel dataplane implementation.",
alibaba/kubeskoop,Observability,"The repository's primary intent is to provide deep visibility and diagnostics for Kubernetes networking issues. Its key features, such as constructing network traffic graphs, monitoring kernel paths, exporting metrics to Prometheus, capturing packets, and detecting latency, are all core functions of an observability tool. The project's goal is to help operators understand and resolve network problems like bottlenecks and jitter, not to enforce security policies or implement the network dataplane itself. While it operates in a cloud-native context, its function is not to provide networking (like a CNI), but to observe it, which places it squarely in the Observability category.",
hackerschoice/bpfhacks,Offensive Security,"The repository provides eBPF tools explicitly designed for adversarial purposes, such as a password sniffer (`ptysnoop.bt`) that records SSH/sudo passwords and a keylogger (`keylogger.bt`). These tools fit the definition of Offensive Security, which includes programs used for red-teaming, credential exfiltration, and demonstrating attacks. The project's name, ""bpfhacks,"" and the nature of the tools clearly indicate an offensive, not defensive or observational, intent.",
zebaz/xpress-dns,Kernel / Dataplane Networking,"The repository implements a high-performance DNS server that operates directly at the XDP layer to process packets early in the kernel's networking stack. Its stated goals of 'high throughput' and 'low latency' by accelerating a core network function (DNS) align perfectly with the definition of Kernel / Dataplane Networking. The project is not tied to a cloud-native environment like Kubernetes, distinguishing it from Cloud Native Networking, and its primary function is packet processing, not security or observability.",
netfoundry/zfw,Runtime Security,"The repository implements a stateful firewall using eBPF (tc and XDP), which is a classic example of a runtime security program. Its primary function is to enforce network policies in real-time by inspecting and filtering IPv4/IPv6 packets to protect a system. It includes features like stateful connection tracking, explicit deny rules, and specialized filtering for industrial protocols (DNP3, MODBUS), all of which are designed to detect and block unwanted or malicious traffic. While it operates in the kernel dataplane, its core intent is defense and policy enforcement, not networking performance or routing, making it a clear fit for Runtime Security.",
kube-tarian/tarian,Runtime Security,"The repository's primary function is to protect running Kubernetes applications from malicious attacks. It uses eBPF to detect unknown processes in real time and compares them against a pre-registered list of trusted processes. When a violation is detected, it sends alerts and can take automated enforcement actions, such as deleting the pod. This behavior of live monitoring, detection, and real-time response to policy violations squarely fits the definition of Runtime Security. The explicit goal of preventing ransomware and reacting to active threats confirms this classification.",
ddosify/bpf-verifier-errors,Educational / Demonstration Resources,"The repository's explicit purpose is to help developers ""Learn common bpf verifier errors"" by providing a collection of ""flawed and corrected examples."" This aligns perfectly with the definition of the Educational / Demonstration Resources class, which includes projects created for teaching, training, or illustrating eBPF concepts. The repository is not a functional tool for production use but rather a set of learning materials designed to educate developers on a specific aspect of eBPF development.",
deggja/netfetch,Defensive Security,"The repository's primary intent is to proactively harden a Kubernetes cluster's network security posture. It achieves this by scanning for workloads that are not covered by network policies (including eBPF-powered Cilium policies), which is a form of auditing and vulnerability identification. The tool then helps users fix these weaknesses by suggesting and creating default-deny policies. This aligns perfectly with the definition of Defensive Security, which focuses on strengthening and validating systems to prevent vulnerabilities and reduce the attack surface, rather than reacting to live threats (Runtime Security) or neutrally observing the system (Observability).",
amitmavgupta/azure-terraform,"Operations, Orchestration & Lifecycle Management","The repository's main purpose is to provide a collection of Terraform configurations to automate the deployment of Cilium, an eBPF-based CNI, onto Azure Kubernetes Service (AKS). It does not implement any eBPF functionality itself (like networking, security, or observability). Instead, it focuses entirely on the operational task of deploying, configuring, and managing the lifecycle of an eBPF-dependent system in a cloud environment. This aligns perfectly with the definition of 'Operations, Orchestration & Lifecycle Management', which covers tools that automate the deployment and management of eBPF programs and the systems that use them.",
retis-org/retis,Observability,"The repository's primary function is to trace network packets through the Linux kernel stack to provide visibility for debugging and exploration. Its stated use cases are to ""provide better visibility,"" ""debug networking issues,"" and ""explore the Linux networking stack."" This aligns perfectly with the definition of Observability, which focuses on using eBPF to observe, trace, and profile systems without a security goal. The tool collects telemetry (packet trace events) to help users understand system behavior, which is the core intent of the Observability class.",
bfengj/eBPFeXPLOIT,Offensive Security,"The repository is explicitly named `eBPFeXPLOIT` and described as a ""penetration testing tool."" Its features are entirely adversarial in nature, including hiding PIDs and its own eBPF programs (stealth/rootkit functionality), blocking the `kill` command (persistence/defense evasion), and implementing SSH and cron backdoors for unauthorized access and container escape. These capabilities are designed to attack, subvert, or test system security, which is the core definition of the Offensive Security class.",
chadell/ebpf-playground,Educational / Demonstration Resources,"The repository's main intent is explicitly educational. It is described as ""eBPF example from a talk"" and includes accompanying slides. The name ""ebpf-playground"" itself suggests a space for learning and experimentation rather than a production-ready tool. The content consists of a series of simple, well-documented examples (tracing syscalls, handling packets with XDP) with step-by-step instructions on how to compile, load, and run them. It even includes exercises designed to teach core concepts, such as modifying XDP return codes to observe different behaviors and deliberately causing the eBPF verifier to fail to understand its constraints. This structure and content align perfectly with the definition of an educational resource designed to demonstrate concepts and provide hands-on learning material.",
lizrice/ebpf-advent,Educational / Demonstration Resources,"The repository's explicit goal is to implement ""Advent of Code"" challenges entirely in eBPF as a personal challenge. This is not a production-grade tool for security, networking, or observability. Instead, it serves as a creative and complex demonstration of eBPF's capabilities, showcasing how to perform tasks like file parsing and algorithmic logic directly in the kernel. Its nature as a set of puzzle solutions, combined with the author's reference to their 'Learning eBPF' book, firmly places it in the category of a resource designed to showcase, educate, and demonstrate concepts rather than solve an operational problem.",
Smana/cilium-gateway-api,Educational / Demonstration Resources,"The repository's self-described main purpose is to 'demonstrate how Cilium implements the Gateway-API standard' and is explicitly linked to a blog post. It provides a complete, deployable example environment using Terraform and Flux, not as a reusable production tool, but as a reference for learning. This aligns perfectly with the definition of an educational resource, which includes projects created for teaching, illustrating concepts, and providing examples for blog posts or workshops.",
snpsuen/XDP_LBDSR_Enhance,Kernel / Dataplane Networking,"The repository's primary function is to implement a high-performance, Layer 2 Direct Server Return (DSR) load balancer using eBPF at the XDP hook. This aligns perfectly with the Kernel / Dataplane Networking category, which focuses on using eBPF for direct, in-kernel packet processing and manipulation for performance. The tool operates at a low level, modifying MAC addresses for traffic redirection, and is independent of any specific cloud-native orchestration system like Kubernetes, distinguishing it from the 'Cloud Native Networking' class.",
jnidzwetzki/pg-lock-tracer,Observability,"The repository provides a suite of tools specifically designed to observe, trace, and profile the locking behavior within a running PostgreSQL database. Its stated purpose is to ""gain deep insights"" and ""troubleshoot locking-related issues (e.g., performance problems or deadlocks)."" This aligns perfectly with the definition of Observability, which focuses on using eBPF to understand system behavior, diagnose problems, and analyze performance without a security goal. The tools collect telemetry (lock events, timings) and generate statistics and visualizations to help operators and developers understand application performance, which is a primary function of the Observability class.",
nttcom/fluvia,Observability,"The repository's primary function, as stated in its title, is to be an ""IPFIX Exporter using eBPF/XDP"". IPFIX is a standard protocol for exporting network flow telemetry. The tool uses eBPF at the XDP hook to efficiently capture packet and flow information, such as packet counts and path delays, and then exports this data for external analysis. This directly aligns with the definition of the Observability class: using eBPF to ""observe, measure, trace, or profile... networks without a security or adversarial goal."" The program's intent is not to enforce security policies (ruling out Runtime Security), nor to implement networking functions like routing or load balancing (ruling out Kernel/Dataplane Networking), but rather to provide visibility and telemetry about network traffic.",
kondukto-io/kntrl,Runtime Security,"The repository is explicitly described as an ""eBPF based CI/CD security tool"" and a ""runtime agent"". Its primary function is to ""monitor and prevent anomalous behaviour"" by observing kernel calls while a CI/CD pipeline is actively running. The tool includes a `prevent` mode that actively denies network access based on user-defined policies, such as allow-lists for hosts and IPs. The reporting output clearly shows policy enforcement decisions ('pass' or 'block'). This real-time monitoring, detection of policy violations, and active response (blocking) places it squarely in the Runtime Security category, as it is designed to defend a running workload against prohibited actions.",
pradhans0906/K8S-CNI-Cilium-Tutorial,Educational / Demonstration Resources,"The repository's primary purpose is to provide an automated script for setting up a specific learning or demonstration environment: a k3s cluster with Cilium on macOS. The repository name explicitly includes ""Tutorial"", and the README describes it as a script to ""simplify the setup"". It does not implement any eBPF functionality itself, nor is it a production-grade operational tool. Instead, it serves as a hands-on resource to help users learn about or experiment with a Cilium-based cloud-native networking stack in a non-production context, which perfectly aligns with the definition of an educational or demonstration resource.",
h3x-eilidh/poc-tetragon-tracingpolicy,Runtime Security,"The repository's primary function is to demonstrate the detection of a live, malicious security event (a privilege escalation attempt) using an eBPF-based Tetragon tracing policy. It uses a kprobe to monitor the `setuid` syscall in real-time and generate alerts on suspicious activity, which is the core definition of a Runtime Security program. Although presented as a proof-of-concept with educational value, the demonstrated functionality—detecting and alerting on policy-violating behavior in an active system—is squarely within the Runtime Security domain. The intent is to show how to defend a running system against an active threat, which aligns with the security-focused, real-time nature of this category.",
isovalent/ebpf-docs,Educational / Demonstration Resources,"The repository's stated purpose is to ""comprehensively document eBPF"" and provide a ""common knowledge base"" for the community. This directly aligns with the definition of the 'Educational / Demonstration Resources' class, which includes projects created for teaching, training, and illustrating concepts, as well as curated resource collections. While the documentation is targeted at developers, the project's primary output is knowledge and learning material, not a software tool, framework, or library for building eBPF programs. Its intent is purely to educate and inform.",
hawkv6/hawkwing,Kernel / Dataplane Networking,"The repository's primary intent is to implement a network dataplane for a sophisticated routing protocol, Segment Routing over IPv6 (SRv6), using eBPF. The documentation explicitly states that eBPF is leveraged to implement the ""data plane"" for packet handling, including encapsulation and decapsulation of SRv6 headers. This aligns perfectly with the definition of Kernel / Dataplane Networking, which focuses on using eBPF for packet processing, routing, and tunneling directly within the kernel. The project operates independently of any specific container orchestration system like Kubernetes, distinguishing it from the Cloud Native Networking category. Its purpose is to implement a core networking function, not to provide observability or security.",
amitmavgupta/azure-bicep,"Operations, Orchestration & Lifecycle Management","The repository's primary purpose is to provide Bicep templates for automating the deployment and configuration of Azure Kubernetes Service (AKS) clusters. A significant focus is on deploying clusters with specific eBPF-based networking components, namely Cilium. This directly fits the definition of 'Operations, Orchestration & Lifecycle Management' as it does not implement eBPF functionality itself, but rather automates the deployment, configuration, and lifecycle of systems (like AKS with Cilium) that depend on eBPF. The repository is an example of infrastructure-as-code used to orchestrate an eBPF-powered environment.",
snyk/leaky-vessels-dynamic-detector,Runtime Security,"The repository provides an eBPF-based tool explicitly designed for ""runtime detection for the runc and Docker vulnerabilities"". It hooks into Linux syscalls like `chdir` and `mount` to observe system behavior in real time and identify active exploitation attempts of specific CVEs. When it detects a malicious pattern, it generates a security alert. This functionality perfectly aligns with the definition of Runtime Security, which involves observing, detecting, and responding to potentially malicious activity as it happens. The tool's goal is not neutral observation (Observability) or pre-emptive hardening (Defensive Security), but active, in-the-moment threat detection.",
hamidrezakhosroabadi/xdp-observer,Observability,"The repository's explicit and sole purpose is to ""observe tcp connections in userspace."" The tool uses eBPF (specifically XDP) to collect telemetry about network state and display it to the user. This aligns directly with the definition of the Observability class, which includes programs that observe, measure, or trace system behavior without a security or adversarial goal. The output is purely informational, providing visibility for diagnostic purposes, which is the core intent of observability tools.",
YutaroHayakawa/bpfib,Developer Tooling / Frameworks,"The repository provides `bpfib`, a CLI toolkit specifically designed to help developers working with eBPF for IP routing. Its core functionality is to simulate the `bpf_fib_lookup` helper function from the command line, allowing a developer to test and debug routing behavior from the perspective of an eBPF program without having to write, compile, and load the eBPF code themselves. This directly serves developer productivity by providing a specialized debugging and inspection utility. It does not perform monitoring, security, or networking itself; rather, it's a tool to aid in the creation of such programs, which is the exact definition of the Developer Tooling / Frameworks class.",
criblio/o11y-taming-tetragon,Educational / Demonstration Resources,"The repository is explicitly a ""Demo Walkthrough"" designed to teach users how to integrate two existing tools: Tetragon (an eBPF-based security/observability agent) and Cribl Edge (a data pipeline tool). Its purpose is not to provide a new tool for security, observability, or operations, but to provide step-by-step instructions, configuration examples, and educational context for a specific use case. The content is structured as a tutorial, includes warnings against using the provided configurations in production, and guides the user through a learning process, which aligns perfectly with the definition of an educational resource.",
cilium/cilium,Cloud Native Networking,"The repository's documentation explicitly describes Cilium as a 'networking, observability, and security solution with an eBPF-based dataplane' primarily for containerized environments like Kubernetes. Its core features, such as being a CNI plugin, providing pod-to-pod connectivity, distributed load balancing (replacing kube-proxy), cluster mesh, and enforcing Kubernetes Network Policies, are all central to the definition of Cloud Native Networking. While it incorporates strong security and observability features, its fundamental purpose and primary function is to implement the network fabric and dataplane for cloud-native workloads. The classification rules clarify that when a project's main goal is traffic routing, service delivery, and connectivity within an orchestrated environment, it belongs in this category, which perfectly describes Cilium's role in the ecosystem.",
keyval-dev/opentelemetry-go-instrumentation,Observability,"The repository's explicit purpose is to provide ""OpenTelemetry Auto-Instrumentation for Go"" applications. It uses eBPF uprobes to automatically capture telemetry (traces and metrics) from libraries like net/http and gRPC without modifying the source code. This aligns perfectly with the definition of the Observability class, which includes programs that use eBPF to observe, measure, trace, or profile systems and applications for performance analysis and debugging, often exporting data to standard observability stacks like OpenTelemetry.",
keisku/gmon,Observability,"The repository `keisku/gmon` is a tool designed specifically to monitor the creation, destruction, and uptime of goroutines within a Go program. Its primary function is to provide visibility into application behavior for debugging and performance analysis, which is the core tenet of the Observability class. The tool achieves this by tracing Go runtime functions using eBPF and exposing the collected data as logs with stack traces and metrics in the OpenMetrics format (e.g., `gmon_goroutine_creation`, `gmon_goroutine_uptime`). The project's intent is clearly not security-related (it doesn't detect malicious activity) or networking-focused (it doesn't manage traffic). Instead, it aims to answer questions like ""Why is my application slow?"" or ""Is there a goroutine leak?"", fitting squarely within the definition of an observability tool.",
elastic/otel-profiling-agent,Observability,"The repository implements a 'whole-system, cross-language profiler' that uses eBPF to capture performance data and stack traces. Its explicit goal is to provide visibility into application and system performance, integrating with the OpenTelemetry (OTel) ecosystem. This perfectly matches the definition of the Observability class, which includes tools that 'observe, measure, trace, or profile systems' to help developers and SREs understand system behavior rather than for security or networking purposes.",
peter-mcconnell/whispers,Offensive Security,"The repository provides a tool that uses eBPF to hook the `libpam` library and dump credentials from memory as they are being used by services like `sshd` or `passwd`. This functionality is a classic example of credential exfiltration, which is a core aspect of offensive security tooling. The definition for the 'Offensive Security' class explicitly includes 'credential sniffers' and 'projects that demonstrate or simulate attacks — e.g., eBPF-based malware, credential sniffers... even if their intent is educational or research-oriented'. While the author states the project was created for a tech talk and is educational, the tool itself provides a functional, reproducible attack capability, making Offensive Security the most accurate classification.",
Netflix/bpftop,Observability,"The repository's main purpose is to observe and measure the performance of other running eBPF programs. Its functionality aligns perfectly with the definition of the Observability class: it provides a 'dynamic real-time view' of metrics like 'average runtime, events per second, and estimated total CPU %'. The tool is analogous to `top` or `htop` but for the eBPF subsystem itself. Its intent is purely to provide insight, diagnostics, and performance analysis for developers and operators to understand the resource consumption of eBPF programs, which is a core tenet of observability. It has no security, networking, or offensive function.",
microsoft/retina,Observability,"The repository explicitly describes itself as a 'Kubernetes network observability platform' and an 'eBPF distributed networking observability tool for Kubernetes'. Its core features are centered around collecting telemetry, generating Prometheus metrics, and enabling on-demand packet captures. The stated goal is to provide insight into application and network health for troubleshooting and monitoring, which aligns perfectly with the definition of the Observability class. While it mentions 'security' as a use case, its function is to provide neutral data ('collects customizable telemetry') for analysis, not to perform active threat detection or policy enforcement, which distinguishes it from the Runtime Security class.",
